Designator,Layer,Mid X,Mid Y,Rotation
D50_00_01,Top,157.5958mm,41.004mm,180
D51_00_01,Top,165.59679999999997mm,44.99179999999999mm,180
D52_00_01,Top,165.59679999999997mm,41.004mm,180
D53_00_01,Top,169.60999999999999mm,44.99179999999999mm,180
D54_00_01,Top,169.60999999999999mm,41.004mm,180
D55_00_01,Top,162.59959999999998mm,57.69179999999999mm,270
D56_00_01,Top,159.6024mm,57.69179999999999mm,270
D57_00_01,Top,165.59679999999997mm,57.69179999999999mm,270
D61_00_01,Top,152.59199999999998mm,30.996399999999998mm,270
D62_00_01,Top,154.59859999999998mm,30.996399999999998mm,270
D63_00_01,Top,156.60519999999997mm,30.996399999999998mm,270
D64_00_01,Top,158.6118mm,30.996399999999998mm,270
D65_00_01,Top,160.593mm,30.996399999999998mm,270
D66_00_01,Top,162.59959999999998mm,30.996399999999998mm,270
D67_00_01,Top,164.6062mm,30.996399999999998mm,270
D68_00_01,Top,166.5874mm,30.996399999999998mm,270
D69_00_01,Top,168.594mm,30.996399999999998mm,270
D71_00_01,Top,145.099mm,22.0048mm,90
D72_00_01,Top,148.09619999999998mm,22.0048mm,90
D73_00_01,Top,151.09339999999997mm,22.0048mm,90
D74_00_01,Top,154.0906mm,22.0048mm,90
D75_00_01,Top,157.0878mm,22.0048mm,90
D76_00_01,Top,160.1104mm,22.0048mm,90
D77_00_01,Top,163.1076mm,22.0048mm,90
D78_00_01,Top,166.1048mm,22.0048mm,90
D79_00_01,Top,169.10199999999998mm,22.0048mm,90
D81_00_01,Top,156.60519999999997mm,57.69179999999999mm,270
D82_00_01,Top,142.10179999999997mm,22.0048mm,90
D83_00_01,Top,170.6006mm,30.996399999999998mm,270
D84_00_01,Top,140.6032mm,30.996399999999998mm,270
D85_00_01,Top,142.60979999999998mm,30.996399999999998mm,270
D86_00_01,Top,144.591mm,30.996399999999998mm,270
D87_00_01,Top,146.5976mm,30.996399999999998mm,270
D88_00_01,Top,148.6042mm,30.996399999999998mm,270
D89_00_01,Top,150.61079999999998mm,30.996399999999998mm,270
FILTER_SW_00_01,Top,169.60999999999999mm,57.69179999999999mm,0
PWR_SW_00_01,Top,170.8038mm,13.2926mm,180
SW1_00_01,Top,94.60379999999999mm,54.999399999999994mm,0
SW2_00_01,Top,94.60379999999999mm,49.004999999999995mm,0
SW3_00_01,Top,94.60379999999999mm,43.0106mm,0
